DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;CD_CARGO;DS_CARGO;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_LOCAL_VOTACAO;SQ_CANDIDATO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;117;360;13;Vereador;40333;ESIMAR BRANDÃO DE LIMA;5;1317;60001981856;ESCOLA MUNICIPAL CATARINA LIMA DA SILVA;RUA PEDRO MARTINS, 313
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;85;359;13;Vereador;70369;CLAUDIO MARCOS LIMA DA SILVA;1;1384;60001914700;EEFM AYRTON SENNA DA SILVA;RUA MANAUS, 855
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;116;467;13;Vereador;70369;CLAUDIO MARCOS LIMA DA SILVA;2;1554;60001914700;CRAS GRANJA PORTUGAL;RUA HUMBERTO LOMEU 1130
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;85;253;13;Vereador;11200;ELINETE TORRES DA SILVA;1;1244;60002030507;EEF PATRONATO DA SAGRADA FAMILIA;RUA MARTINS NETO 379
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;115;131;13;Vereador;45610;FRANCISCA DÁVILA DOS SANTOS MENDES SOUSA;1;1333;60002132624;COLEGIO PROVECTO;RUA SUIÇA, 76
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;115;33;13;Vereador;40440;RENATA VIEIRA DA SILVA;1;1066;60001981840;EM THOMAZ POMPEU SOBRINHO;RUA JOSE MENELEU, 531
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;2;90;13;Vereador;15833;PEDRO TORRES DE ARAUJO NETO;1;1074;60002130746;CLUBE DA CAIXA;AVENIDA FREI CIRILO 4700
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;112;293;13;Vereador;22778;IVONEIDE MACIEL BARBOSA;1;1058;60002131838;COLÉGIO ÁGAPE;AV HERMINIO DE CASTRO, 140
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;115;270;13;Vereador;40440;RENATA VIEIRA DA SILVA;1;1333;60001981840;COLEGIO PROVECTO;RUA SUIÇA, 76
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;80;265;13;Vereador;36360;DOUGLAS SOARES FELIPE DA SILVA;1;1252;60001981181;COLÉGIO JENNY GOMES;AV. BORGES DE MELO, 210
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;93;273;11;Prefeito;44;WAGNER SOUSA GOMES;19;1287;60001939602;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE (JOSÉ WALTER);AV. H, 430 III ETAPA
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;113;82;11;Prefeito;44;WAGNER SOUSA GOMES;40;1090;60001939602;ESCOLA MUNICIPAL PROF. FILGUEIRAS LIMA;AV. DOS EXPEDICIONÁRIOS, 3910
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;113;56;11;Prefeito;44;WAGNER SOUSA GOMES;27;1058;60001939602;COLÉGIO FARIAS BRITO;RUA SENADOR POMPEU, 2607
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;93;75;11;Prefeito;44;WAGNER SOUSA GOMES;38;1015;60001939602;EM JONATHAN DA ROCHA ALCOFORADO;RUA MARIA GOMES DE SÁ,1030 ARACAPÉ
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;93;307;11;Prefeito;44;WAGNER SOUSA GOMES;22;1333;60001939602;CEI MARIA LETICIA MOTA MOREIRA;RUA 15, S/N, RESIDENCIAL CIDADE JARDIM II
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;80;298;13;Vereador;36360;DOUGLAS SOARES FELIPE DA SILVA;1;1309;60001981181;ESCOLA MUNICIPAL PAPA JOÃO XXIII;AV TREZE DE ABRIL, 545
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;3;569;13;Vereador;55222;FRANCISCO ERON MENDES MOREIRA;1;2089;60001939493;INSTITUTO CEARENSE DE EDUCAÇÃO DE SURDOS - ICES;AV. RUI BARBOSA, 1970
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;114;111;13;Vereador;44190;NOELIO DA ROCHA OLIVEIRA;1;1368;60001939336;EM SÃO JOSÉ;AVENIDA DOUTOR THEBERGE 2288
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;116;55;13;Vereador;44190;NOELIO DA ROCHA OLIVEIRA;2;1104;60001939336;EM SANTOS DUMONT;RUA GERALDO BARBOSA 240
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;114;296;13;Vereador;44190;NOELIO DA ROCHA OLIVEIRA;1;1449;60001939336;CENTRO PROFISSIONALIZAÇÃO INCLUSIVA P/ PESSOAS C/ DEFICIÊNCIA - CEPIPD;RUA SENADOR ROBERT KENNEDY, 128
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;3;575;13;Vereador;36555;ANTÔNIO MARIANO DA SILVA JÚNIOR;5;3042;60001981193;EM JOSÉ DIAS MACEDO;RUA NUNES VALENTE, 809
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;118;666;13;Vereador;70369;CLAUDIO MARCOS LIMA DA SILVA;1;1716;60001914700;EM PAULO SERGIO DE SOUSA LIRA;RUA ITABORAÍ, 264
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;116;119;13;Vereador;44190;NOELIO DA ROCHA OLIVEIRA;2;1180;60001939336;EEFM PROF JOCIE CAMINHA DE MENEZES;RUA ITU 120
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;112;483;13;Vereador;22231;JESUS GAMA FILHO;1;1660;60002131824;EM PROFª ALDACI BARBOSA;RUA OLEGARIO MEMORIA, 1257
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;3;575;13;Vereador;55222;FRANCISCO ERON MENDES MOREIRA;1;3042;60001939493;EM JOSÉ DIAS MACEDO;RUA NUNES VALENTE, 809
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;85;284;13;Vereador;44190;NOELIO DA ROCHA OLIVEIRA;1;1279;60001939336;EEFM PROF. EDMILSON GUIMARAES DE ALMEIDA UV 10;RUA 1074 S/N (PROX. HOSPITAL), 4 ETAPA
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;117;159;13;Vereador;44190;NOELIO DA ROCHA OLIVEIRA;3;1236;60001939336;EEF JOSE AYRTON TEIXEIRA;RUA ALFREDO MAMEDE SN
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13455;BELA CRUZ;13455;BELA CRUZ;96;82;13;Vereador;40400;LUIZ ERNANDO ROCHA VASCONCELOS;9;1350;60001940389;EMETI MARIO LOUZADA;RUA CAPITAO MIGUEL LOPES S/N
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;113;320;11;Prefeito;44;WAGNER SOUSA GOMES;31;1414;60001939602;EEFM DR.CÉSAR CALS;AV. DOMINGOS OLIMPIO, 1800
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;93;188;11;Prefeito;44;WAGNER SOUSA GOMES;30;1171;60001939602;EM MARIA ZELIA CORREIA DE SOUSA;RUA ANTONIO PEREIRA,1495
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;113;178;11;Prefeito;44;WAGNER SOUSA GOMES;24;1228;60001939602;COLÉGIO SÃO MATEUS;RUA JUSTINIANO DE SERPA, 748
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;2;478;13;Vereador;70369;CLAUDIO MARCOS LIMA DA SILVA;1;1163;60001914700;EEM DEPUTADO PAULO BENEVIDES;RUA ANGELICA GURGEL, 186
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;114;111;13;Vereador;22022;ISABELLA ANTÔNNIA CASALE ROCHA CARNEIRO LEÃO;3;1368;60002131814;EM SÃO JOSÉ;AVENIDA DOUTOR THEBERGE 2288
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13455;BELA CRUZ;13455;BELA CRUZ;96;180;13;Vereador;40400;LUIZ ERNANDO ROCHA VASCONCELOS;1;1414;60001940389;EMEIEF CRISPIM JOSE DA SILVA;RIACHO DA PRATA
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;80;204;13;Vereador;70369;CLAUDIO MARCOS LIMA DA SILVA;1;1155;60001914700;UAPS CESAR CALS DE OLIVEIRA;RUA CAPITÃO ARAGÃO 555
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;2;161;13;Vereador;55222;FRANCISCO ERON MENDES MOREIRA;1;1210;60001939493;INSTITUTO FREI JOAO PEDRO DE SEXTO;AVENIDA FREI CIRILO, 4241
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;117;291;13;Vereador;22022;ISABELLA ANTÔNNIA CASALE ROCHA CARNEIRO LEÃO;2;1279;60002131814;COLÉGIO CASTRO ALVES;RUA TULIPA NEGRA, 2319
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;116;55;13;Vereador;22022;ISABELLA ANTÔNNIA CASALE ROCHA CARNEIRO LEÃO;4;1104;60002131814;EM SANTOS DUMONT;RUA GERALDO BARBOSA 240
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;114;296;13;Vereador;22022;ISABELLA ANTÔNNIA CASALE ROCHA CARNEIRO LEÃO;5;1449;60002131814;CENTRO PROFISSIONALIZAÇÃO INCLUSIVA P/ PESSOAS C/ DEFICIÊNCIA - CEPIPD;RUA SENADOR ROBERT KENNEDY, 128
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;116;119;13;Vereador;22022;ISABELLA ANTÔNNIA CASALE ROCHA CARNEIRO LEÃO;1;1180;60002131814;EEFM PROF JOCIE CAMINHA DE MENEZES;RUA ITU 120
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;85;284;13;Vereador;22022;ISABELLA ANTÔNNIA CASALE ROCHA CARNEIRO LEÃO;3;1279;60002131814;EEFM PROF. EDMILSON GUIMARAES DE ALMEIDA UV 10;RUA 1074 S/N (PROX. HOSPITAL), 4 ETAPA
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;115;44;13;Vereador;20022;JAMAICA DE OLIVEIRA MARTINS;1;1074;60002040373;UNIVERSIDADE ESTADUAL DO CEARA - UECE;AV DR. SILAS MUNGUBA, 1700
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13897;FORTALEZA;13897;FORTALEZA;117;159;13;Vereador;22022;ISABELLA ANTÔNNIA CASALE ROCHA CARNEIRO LEÃO;1;1236;60002131814;EEF JOSE AYRTON TEIXEIRA;RUA ALFREDO MAMEDE SN
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13951;GRANJA;13951;GRANJA;25;6;13;Vereador;11111;FRANCISCO DONATO PEREIRA FONTENELE;2;1031;60001982174;E.M.T.I. DONA INAH;RUA JUVENAL GALENO, 171
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13196;AQUIRAZ;13196;AQUIRAZ;66;182;11;Prefeito;25;BRUNO BARROS GONÇALVES;233;1805;60001986784;EMEF MARIA FACANHA DE SÁ;RUA VIA COLETORA - LITORANEA II  N 2435
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;13196;AQUIRAZ;13196;AQUIRAZ;66;230;11;Prefeito;25;BRUNO BARROS GONÇALVES;246;1996;60001986784;EMEF LAGOA DE CIMA;PV LAGOA DE CIMA DISTRITO PATACAS
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;15474;SÃO BENEDITO;15474;SÃO BENEDITO;22;93;13;Vereador;44111;RAIMUNDO REJANE DE SOUZA;5;1392;60002018068;GRUPO SALUSTIANO RODRIGUES DE MELO;SITIO INHARE
28/10/2024;11:46:22;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;06/10/2024;M;CE;14559;MARANGUAPE;14559;MARANGUAPE;4;44;13;Vereador;40004;SILVELANE GERALDO SOARES;3;2488;60002108604;COLÉGIO SEBASTIÃO DE ABREU;RUA ROBERTO BRAQUEHAIS, 656
