DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_SECOES_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEI_BIOM_SEM_HABILITACAO;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3085;RORAINÓPOLIS;8;47;1155;13;Vereador;10;REPUBLICANOS;REPUBLICANOS;2024-10-06 18:58:51;220;195;25;1;Apurada;1;Nominal;10789;FALCÃO RADIALISTA;1;2257726;410.129.461.615.316.496.;739.300;A10E017D;2024-09-24 09:17:00;13 - 47;#NULO#;2024-10-06 07:16:20;2024-10-06 16:02:31;5;2024-10-06 16:06:12;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3018;BOA VISTA;5;400;2054;13;Vereador;44;UNIÃO;União Brasil;2024-10-06 18:56:21;316;260;56;1;Apurada;1;Nominal;44044;CLEO MELO;1;2226391;960.651.963.331.504.269.;596.784;3178ECF9;2024-10-03 09:50:00;13 - 400;#NULO#;2024-10-06 08:35:05;2024-10-06 16:04:00;11;2024-10-06 16:05:45;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3018;BOA VISTA;5;699;1783;13;Vereador;13;PT;Partido dos Trabalhadores;2024-10-06 18:57:41;306;272;34;1;Apurada;1;Nominal;13123;OLAVO DA CONSTRUÇÃO CIVIL;1;2020112;516.106.672.776.502.100.;869.019;F2182C5A;2024-10-03 08:58:00;13 - 699;#NULO#;2024-10-06 07:00:01;2024-10-06 16:01:19;9;2024-10-06 16:04:40;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3018;BOA VISTA;5;699;1783;13;Vereador;44;UNIÃO;União Brasil;2024-10-06 18:57:41;306;272;34;1;Apurada;1;Nominal;44044;CLEO MELO;1;2020112;516.106.672.776.502.100.;869.019;F2182C5A;2024-10-03 08:58:00;13 - 699;#NULO#;2024-10-06 07:00:01;2024-10-06 16:01:19;9;2024-10-06 16:04:40;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3115;NORMANDIA;5;698;1023;13;Vereador;55;PSD;Partido Social Democrático;2024-10-06 18:20:35;191;172;19;1;Apurada;1;Nominal;55777;FÁBIO SOUZA;7;2255188;352.590.403.408.998.455.;800.072;510FF056;2024-09-24 09:22:00;13 - 698;#NULO#;2024-10-06 07:00:01;2024-10-06 16:18:08;2;2024-10-06 16:18:45;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3042;AMAJARI;7;24;1023;13;Vereador;12;PDT;Partido Democrático Trabalhista;2024-10-06 17:56:06;268;219;49;1;Apurada;1;Nominal;12666;CHICLETE;1;2275532;039.280.614.312.749.569.;98.276;8A475BC8;2024-09-23 09:33:00;13 - 24;#NULO#;2024-10-06 07:00:01;2024-10-06 16:02:22;8;2024-10-06 16:04:12;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3018;BOA VISTA;1;82;3778;13;Vereador;44;UNIÃO;União Brasil;2024-10-06 18:57:44;288;232;56;1;Apurada;1;Nominal;44044;CLEO MELO;1;2226139;708.081.489.953.138.059.;981.005;2A77E17F;2024-10-02 10:05:00;13 - 82;#NULO#;2024-10-06 07:00:01;2024-10-06 16:06:01;31;2024-10-06 16:08:09;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3018;BOA VISTA;5;126;1481;13;Vereador;13;PT;Partido dos Trabalhadores;2024-10-06 18:44:45;294;235;59;1;Apurada;1;Nominal;13123;OLAVO DA CONSTRUÇÃO CIVIL;1;2226454;455.500.347.240.820.677.;943.969;ECD775CF;2024-10-03 09:04:00;13 - 126;#NULO#;2024-10-06 07:00:01;2024-10-06 16:08:29;10;2024-10-06 16:10:54;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3018;BOA VISTA;5;330;1481;13;Vereador;13;PT;Partido dos Trabalhadores;2024-10-06 18:44:22;285;219;66;1;Apurada;1;Nominal;13123;OLAVO DA CONSTRUÇÃO CIVIL;1;2232758;809.035.283.995.331.023.;524.781;E90F9AFB;2024-10-03 09:15:00;13 - 330;#NULO#;2024-10-06 07:00:01;2024-10-06 16:01:42;12;2024-10-06 16:04:18;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;2024-10-06 00:00:00;1;619;Eleições Municipais 2024;RR;3018;BOA VISTA;1;181;2801;13;Vereador;44;UNIÃO;União Brasil;2024-10-06 19:07:08;376;307;69;1;Apurada;1;Nominal;44044;CLEO MELO;2;2019082;374.748.135.371.204.593.;81.470;53F953A8;2024-10-02 09:38:00;13 - 181;768;2024-10-06 07:00:01;2024-10-06 16:04:21;14;2024-10-06 16:06:54;-1;-1
